app_id;pge_name;vst_time;pge_estimated_time;pge_type_id
1;accueil;37483;16040;3
1;formulaire;37410;36712;4
1;accueil;14759;45610;3
1;article;25878;19356;4
1;article;41172;16620;2
1;article;28167;11931;1
1;formulaire;35124;5899;1
1;informatif;47143;46267;2
1;article;25179;41114;2
1;formulaire;40156;46698;4
1;article;30294;49483;1
1;formulaire;10084;45386;1
1;article;20119;34435;2
1;accueil;18913;13838;1
1;article;37732;38832;1
1;accueil;8990;23647;2
1;informatif;10104;29141;4
1;informatif;29098;38334;2
1;accueil;23359;34351;3
1;accueil;29995;4114;4
1;informatif;18736;32733;4
1;informatif;8202;13275;1
1;informatif;28719;25388;4
1;article;39017;44743;3
1;article;41783;10066;4
1;article;1099;22611;1
1;informatif;13326;23718;1
1;informatif;19142;5451;4
1;formulaire;11835;37336;4
1;article;38456;35348;1
1;article;47055;45494;4
1;accueil;29866;16902;1
1;formulaire;2634;23877;1
1;accueil;9826;19241;4
1;accueil;28462;47580;4
1;article;21354;32171;3
1;accueil;12501;24662;3
1;article;20867;39703;1
1;article;30389;35354;1
1;formulaire;24475;29842;4
1;informatif;14297;45269;2
1;article;16549;27252;1
1;informatif;46624;20612;2
1;formulaire;17098;5590;2
1;accueil;44249;16271;2
1;formulaire;32994;12413;3
1;article;8190;46701;2
1;article;40186;26119;4
1;informatif;36131;20823;3
1;informatif;22541;41949;3
1;formulaire;9856;31535;2
1;informatif;43235;14487;3
1;article;46991;4499;3
1;article;34230;32049;4
1;informatif;39393;44140;3
1;formulaire;44128;5430;1
1;formulaire;1051;15244;1
1;accueil;16278;24286;2
1;accueil;44607;45682;4
1;article;18436;41771;1
1;formulaire;20230;25417;4
1;accueil;13200;39203;2
1;article;35877;45994;3
1;formulaire;39506;4224;4
1;formulaire;39081;36069;4
1;accueil;43030;4732;2
1;formulaire;38038;9608;4
1;accueil;10335;8969;1
1;formulaire;40777;29242;4
1;article;23178;30103;1
1;informatif;26081;3172;1
1;informatif;14517;42646;3
1;accueil;8375;7723;1
1;informatif;32255;24262;3
1;formulaire;4328;8346;4
1;formulaire;8069;43966;4
1;article;18892;43935;4
1;informatif;48662;1303;1
1;article;48976;47819;3
1;accueil;33875;31525;1
1;article;2128;32152;3
1;accueil;37345;15969;2
1;formulaire;12501;1956;2
1;informatif;39255;41483;4
1;informatif;23214;4683;4
1;article;7328;47696;4
1;formulaire;3267;10892;1
1;accueil;30185;2267;1
1;informatif;20017;15481;3
1;article;17427;41178;1
1;accueil;4866;49453;4
1;accueil;44025;47551;2
1;article;49130;39507;4
1;accueil;31745;17317;1
1;accueil;9139;45308;3
1;article;44760;11556;2
